site_id,class,site_type,architecture,sectors,n78_64T64R_AAU,n78_8T8R_radio,n28_RRU,n1n3_or_n3_RRU,passive_antenna_2L4H,DU_at_site,CSR,fronthaul_gateway,NR_cells,avg_load_W,peak_load_W,rectifier_kW,battery_kWh,battery_modules_4.8kWh,grid_kVA,solar_PV_kWp
AMM-DU-0186,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0187,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0188,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0189,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0190,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0191,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0192,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0193,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0194,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0195,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0196,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0197,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0198,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0199,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0200,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0201,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0202,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0203,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0204,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0205,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0206,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0207,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0208,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0209,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0210,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0211,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
