site,far_end_fiber_site,hop_km,radio_configuration,capacity,dish_m,antenna_gain_dBi,free_space_loss_dB,RSL_dBm,fade_margin_dB,rain_attenuation_0.01pct_dB,availability_99.99,terrain_line_of_sight,clearance_m_vs_0.6F1
RUR-R-0361,RUR-R-0347,4.4,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.4,-27.4,34.6,7.5,OK,LOS,4
RUR-R-0363,RUR-R-0362,5.0,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,131.5,-28.6,33.4,8.3,OK,LOS,33
RUR-R-0364,JER-SU-0105,9.2,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,136.8,-26.8,33.2,13.4,OK,BLOCKED by 163 m: raise antennas or relay,-163
RUR-R-0365,RUR-R-0398,9.1,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,136.7,-26.7,33.3,13.3,OK,BLOCKED by 8 m: raise antennas or relay,-8
RUR-R-0366,RUR-R-0398,7.5,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.1,-25.1,34.9,11.6,OK,LOS,6
RUR-R-0367,MAF-SU-0159,3.8,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.1,-26.1,35.9,6.6,OK,LOS,18
RUR-R-0368,MAF-SU-0158,2.6,"E-band 80 GHz 1+0, 2 GHz channel",10 Gbps,0.6,51.4,138.7,-21.9,36.1,23.8,OK,LOS,29
RUR-R-0369,RUR-R-0355,4.9,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,131.3,-28.3,33.7,8.1,OK,LOS,41
RUR-R-0370,RUR-R-0355,4.1,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.9,-26.9,35.1,7.1,OK,LOS,39
RUR-R-0372,RUR-R-0371,3.9,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.4,-26.4,35.6,6.7,OK,LOS,5
RUR-R-0373,AJL-SU-0072,7.0,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,134.4,-31.4,30.6,10.9,OK,BLOCKED by 58 m: raise antennas or relay,-58
RUR-R-0374,RUR-R-0375,4.8,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,131.1,-28.2,33.8,8.0,OK,LOS,11
RUR-R-0376,RUR-R-0392,4.2,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.0,-27.0,35.0,7.1,OK,LOS,2
RUR-R-0378,RUR-R-0362,4.0,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.7,-26.7,35.3,6.9,OK,BLOCKED by 4 m: raise antennas or relay,-4
RUR-R-0379,RUR-R-0362,7.5,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.0,-25.0,35.0,11.5,OK,LOS,10
RUR-R-0380,RUR-R-0398,7.3,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,134.8,-24.8,35.2,11.2,OK,LOS,7
