site_id,class,zone,cluster,governorate,lat,lon,ground_elev_m,site_type,local_bldg_height_mean_m,local_bldg_height_max_m,built_fraction,antenna_height_agl_m,sectors,configuration,backhaul,hub,ring,is_hub
WAD-SU-0041,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.30401,35.47504,1375,Monopole / greenfield,0.0,0.0,0.0,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-02,HUB-WAD-02-R02,0
WAD-SU-0042,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.30283,35.48323,1366,Monopole / greenfield,0.0,0.0,0.0,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-02,HUB-WAD-02-R02,0
WAD-SU-0043,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.30401,35.49689,1420,Monopole / greenfield,2.5,2.5,0.08,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-01,HUB-WAD-01-R02,0
WAD-SU-0044,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.30910,35.46071,1179,Monopole / greenfield,0.0,0.0,0.0,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-02,HUB-WAD-02-R01,0
WAD-SU-0045,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.30792,35.46617,1369,Monopole / greenfield,2.5,2.5,0.08,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-02,HUB-WAD-02-R01,0
WAD-SU-0046,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.30910,35.49484,1423,Monopole / greenfield,2.5,2.5,0.04,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-01,HUB-WAD-01-R01,0
WAD-SU-0047,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.30910,35.49893,1378,Monopole / greenfield,2.5,2.5,0.48,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-01,HUB-WAD-01-R02,0
WAD-SU-0048,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.31302,35.46275,1169,Monopole / greenfield,2.5,2.5,0.08,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-02,HUB-WAD-02-R01,0
WAD-SU-0049,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.31478,35.50439,1382,Monopole / greenfield,2.5,2.5,0.4,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-01,HUB-WAD-01-R02,0
WAD-SU-0050,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.31928,35.45115,1067,Monopole / greenfield,2.5,2.5,0.12,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-02,HUB-WAD-02-R05,0
WAD-SU-0051,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.31869,35.50098,1377,Monopole / greenfield,2.5,2.5,0.44,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-01,HUB-WAD-01-R02,0
WAD-SU-0052,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.32046,35.50712,1420,Monopole / greenfield,2.5,2.5,0.12,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-01,HUB-WAD-01-R02,0
WAD-SU-0053,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.32320,35.49689,1338,Monopole / greenfield,2.5,2.5,0.44,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-01,HUB-WAD-01-R02,0
WAD-SU-0054,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.32555,35.50371,1414,Monopole / greenfield,0.0,0.0,0.0,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-01,HUB-WAD-01-R03,0
WAD-SU-0055,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.33064,35.49347,1353,Monopole / greenfield,2.9,4.3,0.72,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-01,HUB-WAD-01-R03,0
WAD-SU-0056,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.32946,35.50166,1435,Monopole / greenfield,2.5,2.5,0.04,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-01,HUB-WAD-01-R03,0
WAD-SU-0057,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.32946,35.50849,1455,Monopole / greenfield,0.0,0.0,0.0,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-01,HUB-WAD-01-R03,0
WAD-SU-0058,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.33455,35.49142,1432,Monopole / greenfield,3.5,3.5,0.04,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-01,HUB-WAD-01-R03,0
WAD-SU-0059,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.33573,35.49689,1452,Monopole / greenfield,2.5,2.5,0.08,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-01,HUB-WAD-01-R03,0
WAD-SU-0060,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.33573,35.50371,1433,Monopole / greenfield,0.0,0.0,0.0,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-01,HUB-WAD-01-R03,0
WAD-SU-0061,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.34082,35.45934,1038,Monopole / greenfield,2.6,2.8,0.56,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-02,HUB-WAD-02-R05,0
WAD-SU-0062,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.33965,35.47436,1326,Monopole / greenfield,2.5,2.5,0.08,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-01,HUB-WAD-01-R04,0
WAD-SU-0063,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.34082,35.47982,1323,Monopole / greenfield,2.5,2.5,0.16,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-01,HUB-WAD-01-R04,0
WAD-SU-0064,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.33906,35.48733,1340,Monopole / greenfield,2.5,2.5,0.2,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-01,HUB-WAD-01-R04,0
WAD-SU-0065,SU,Wadi Musa / Petra outskirts,Wadi Musa / Petra,Ma'an,30.34356,35.49006,1395,Monopole / greenfield,0.0,0.0,0.0,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-WAD-01,HUB-WAD-01-R04,0
TAF-SU-0044,SU,Tafilah outskirts,Tafilah,Tafilah,30.81251,35.59314,1121,Monopole / greenfield,2.5,2.5,0.08,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-TAF-02,HUB-TAF-02-R02,0
TAF-SU-0045,SU,Tafilah outskirts,Tafilah,Tafilah,30.81309,35.60065,1217,Monopole / greenfield,0.0,0.0,0.0,32,3,3-sector | n78 64T64R 3x100 MHz + n3 4T4R + n28 2T4R,Fiber ring,HUB-TAF-02,HUB-TAF-02-R02,0
